id,shares,source,sedol,name,as_of_date,currency,country,adr,price_usd,adr_price,adr_turnover,turnover_usd,exchange,adr_exchange,classification,sh_per_adr,otc,index_future_bbg,market_etf_hedge,region
4502 JP Equity,5431910.0,ETF,6870445,Takeda Pharmaceutical Co Ltd,2025-09-25,JPY,JAPAN,TAK US Equity,4196.0,13.56,53603860.76923077,135244533.015873,XTKS,XNYS,Large Pharma,0.5,no,NH,EWJ,ASIA
6758 JP Equity,21020000.0,ETF,6821506,Sony Group Corp,2025-09-25,JPY,JAPAN,SONY US Equity,4295.0,27.91,109455176.3076923,355622455.5555556,XTKS,XNYS,Consumer Electronics,1.0,no,NH,EWJ,ASIA
7203 JP Equity,32392220.0,ETF,6900643,Toyota Motor Corp,2025-09-25,JPY,JAPAN,TM US Equity,3155.0,203.89,70991594.15384616,528872712.6984127,XTKS,XNYS,Cars - Fossil Fuels,10.0,no,NH,EWJ,ASIA
7267 JP Equity,13518000.0,ETF,6435145,Honda Motor Co Ltd,2025-09-25,JPY,JAPAN,HMC US Equity,1590.0,30.71,30621045.384615384,191546544.92063493,XTKS,XNYS,Cars - Fossil Fuels,3.0,no,NH,EWJ,ASIA
8306 JP Equity,39184880.0,ETF,6335171,Mitsubishi UFJ Financial Group,2025-09-25,JPY,JAPAN,MUFG US Equity,2332.0,15.07,51059142.307692304,601594112.6984127,XTKS,XNYS,Diversified Banks,1.0,no,NH,EWJ,ASIA
8316 JP Equity,12613100.0,ETF,6563024,Sumitomo Mitsui Financial Grou,2025-09-25,JPY,JAPAN,SMFG US Equity,4150.0,16.14,32671995.846153848,327993671.4285714,XTKS,XNYS,Diversified Banks,0.6,no,NH,EWJ,ASIA
8411 JP Equity,8581116.0,ETF,6591014,Mizuho Financial Group Inc,2025-09-25,JPY,JAPAN,MFG US Equity,5120.0,6.66,16734459.353846151,296235611.1111111,XTKS,XNYS,Diversified Banks,0.2,no,NH,EWJ,ASIA
ABI BB Equity,3378541.0,ETF,BYYHL23,Anheuser-Busch InBev SA/NV,2025-09-25,EUR,BELGIUM,BUD US Equity,54.1,61.9,149570132.0,92173792.08955224,XBRU,XNYS,Brewers,1.0,no,VG,FEZ,EUROPE
AGN NA Equity,4510469.0,ETF,BPH0Y27,Aegon Ltd,2025-09-25,EUR,NETHERLANDS,AEG US Equity,6.578,7.47,40912012.615384616,38687048.65671642,XAMS,XNYS,Life Insurance,1.0,no,VG,FEZ,EUROPE
ARGX BB Equity,209180.0,ETF,BNHKYX4,Argenx SE,2025-09-25,EUR,NETHERLANDS,ARGX US Equity,734.0,831.48,271282284.61538464,72618194.02985075,XBRU,XNGS,Biotech,1.0,no,VG,FEZ,EUROPE
ASML NA Equity,1346107.0,ETF,B929F46,ASML Holding NV,2025-09-25,EUR,NETHERLANDS,ASML US Equity,918.0,1030.14,1391861441.5384614,515147350.74626863,XAMS,XNGS,Front End Capital Equipment,1.0,no,VG,FEZ,EUROPE
AZN LN Equity,5300168.0,ETF,0989529,AstraZeneca PLC,2025-09-25,GBp,BRITAIN,AZN US Equity,12528.0,82.03,328924989.2307692,183534580.1515152,XLON,XNGS,Large Pharma,0.5,no,Z ,EWU,EUROPE
BARC LN Equity,48752408.0,ETF,3134865,Barclays PLC,2025-09-25,GBp,BRITAIN,BCS US Equity,406.3,21.11,261721327.69230768,118010425.45454544,XLON,XNYS,Diversified Banks,4.0,no,Z ,EWU,EUROPE
BATS LN Equity,7116093.0,ETF,0287580,British American Tobacco PLC,2025-09-25,GBp,BRITAIN,BTI US Equity,4050.0,52.98,277330743.0769231,158160029.3939394,XLON,XNYS,Cigarette,1.0,no,Z ,EWU,EUROPE
BBVA SM Equity,19698821.0,ETF,5501906,Banco Bilbao Vizcaya Argentari,2025-09-25,EUR,SPAIN,BBVA US Equity,17.54,20.02,28477121.384615384,126612707.46268655,XMAD,XNYS,Banks,1.0,no,VG,FEZ,EUROPE
BHP AU Equity,17349663.0,ETF,6144690,BHP Group Ltd,2025-09-25,AUD,AUSTRALIA,BHP US Equity,42.54,54.44,166799663.23076922,253922997.01492536,XASX,XNYS,Iron Ore Mining,2.0,no,Z ,EWA,ASIA
BP/ LN Equity,54513235.0,ETF,0798059,BP PLC,2025-09-25,GBp,BRITAIN,BP US Equity,453.15,35.12,278163478.46153843,120055448.93939394,XLON,XNYS,Integrated Oils,6.0,no,Z ,EWU,EUROPE
DGE LN Equity,7573517.0,ETF,0237400,Diageo PLC,2025-09-25,GBp,BRITAIN,DEO US Equity,1787.0,93.06,135437011.69230768,93559417.72727272,XLON,XNYS,Distillers,4.0,no,Z ,EWU,EUROPE
ENI IM Equity,6982255.0,ETF,7145056,Eni SpA,2025-09-25,EUR,ITALY,E US Equity,15.91,36.32,8380562.553846153,163731417.87878788,XMIL,XNYS,Integrated Oils,2.0,no,VG,FEZ,EUROPE
EQNR NO Equity,2618408.0,ETF,7133608,Equinor ASA,2025-09-25,NOK,NORWAY,EQNR US Equity,243.1,23.97,94042302.15384616,61692555.67164179,XOSL,XNYS,Integrated Oils,1.0,no,SXO,FEZ,EUROPE
ERICB SS Equity,9565695.0,ETF,5959378,Telefonaktiebolaget LM Ericsso,2025-09-25,SEK,SWEDEN,ERIC US Equity,95.08,9.81,111095053.53846154,43250504.32835821,XSTO,XNGS,Data Networking Equipment,1.0,no,SXO,FEZ,EUROPE
FME GR Equity,748603.0,ETF,5129074,Fresenius Medical Care AG,2025-09-25,EUR,GERMANY,FMS US Equity,42.0,24.29,8022532.523076923,27149678.507462688,XETR,XNYS,Kidney Dialysis Centers,0.5,no,VG,FEZ,EUROPE
GMAB DC Equity,217900.0,ETF,4595739,Genmab A/S,2025-09-25,DKK,DENMARK,GMAB US Equity,1888.5,28.76,30503165.846153848,29474442.507462688,XCSE,XNGS,Biotech,0.1,no,SXO,FEZ,EUROPE
