,dec_date,ex_date,rec_date,pay_date,dvd_amt,dvd_freq,dvd_type
6758 JP Equity,2024-05-14,2024-09-27,2024-09-30,2024-10-01,5.0,,Stock Split
6758 JP Equity,1999-12-27,2000-03-28,2000-03-31,2000-05-19,2.0,,Gratis
7203 JP Equity,2021-05-12,2021-09-29,2021-09-30,2021-10-01,5.0,,Stock Split
7267 JP Equity,2023-08-09,2023-09-28,2023-09-30,2023-10-01,3.0,,Stock Split
7267 JP Equity,2006-04-26,2006-06-27,2006-06-30,2006-07-03,2.0,,Stock Split
8306 JP Equity,2007-01-31,2007-10-01,2007-09-29,2007-10-01,1000.0,,Stock Split
8316 JP Equity,2024-05-15,2024-09-27,2024-09-30,2024-10-01,3.0,,Stock Split
8316 JP Equity,2008-05-16,2009-01-05,2009-01-03,2009-01-05,100.0,,Stock Split
8411 JP Equity,2020-05-15,2020-09-29,2020-09-30,2020-10-01,0.1,,Stock Split
AGN NA Equity,2000-05-04,2000-05-30,2000-05-26,2000-05-30,2.0,,Stock Split
AGN NA Equity,1998-03-26,1998-05-25,1998-05-25,1998-05-25,2.0,,Stock Split
AGN NA Equity,1995-05-09,1995-06-01,1995-05-31,1995-05-31,2.5,,Stock Split
AGN NA Equity,1992-01-03,1992-06-09,1992-06-05,1992-06-05,2.0,,Stock Split
ASML NA Equity,2012-10-10,2012-11-26,2012-11-28,,1.0,,Stock Split
ASML NA Equity,2007-05-31,2007-10-01,2007-09-28,2007-10-04,1.0,,Stock Split
ASML NA Equity,2000-03-23,2000-04-17,2000-04-14,2000-04-17,3.0,,Stock Split
ASML NA Equity,1998-04-02,1998-05-08,1998-05-08,,2.0,,Stock Split
ASML NA Equity,1997-04-03,1997-05-12,1997-05-12,1997-05-12,2.0,,Stock Split
BARC LN Equity,2002-02-14,2002-04-29,2002-04-26,2002-04-29,4.0,,Stock Split
BBVA SM Equity,1998-06-24,1998-07-13,1998-07-10,1998-07-11,3.0,,Stock Split
BBVA SM Equity,1997-06-19,1997-07-21,1997-07-21,1997-07-19,3.0,,Stock Split
BHP AU Equity,1984-12-01,1984-12-03,1984-12-04,1984-12-04,2.0,,Stock Split
BHP AU Equity,1984-04-01,1984-04-17,1984-04-18,1984-04-18,1.1766,,Stock Split
BHP AU Equity,1984-03-01,1984-03-27,1984-03-28,1984-03-28,1.0458,,Stock Split
BHP AU Equity,1981-03-01,1981-03-02,1981-03-03,1981-03-03,1.0342,,Stock Split
BHP AU Equity,1979-09-01,1979-09-21,1979-09-24,1979-09-24,1.0579,,Stock Split
BHP AU Equity,1979-04-01,1979-04-12,1979-04-13,1979-04-13,1.2,,Stock Split
BP/ LN Equity,1999-07-20,1999-10-04,1999-10-01,1999-10-04,2.0,,Stock Split
DGE LN Equity,1997-12-22,1998-02-02,1998-01-30,1998-02-02,0.864,,Stock Split
DGE LN Equity,1991-10-10,1991-10-28,1991-10-10,1991-10-28,2.0,,Stock Split
ENI IM Equity,2001-04-23,2001-06-18,2001-06-15,2001-06-18,0.5,,Stock Split
ERICB SS Equity,2008-02-22,2008-06-02,2008-06-04,2008-06-10,0.2,,Stock Split
ERICB SS Equity,2000-03-31,2000-05-08,2000-05-10,,4.0,,Stock Split
ERICB SS Equity,1995-05-10,1995-06-16,1995-06-20,1995-06-27,4.0,,Stock Split
ERICB SS Equity,1990-07-01,1990-09-20,1990-09-19,1990-09-19,5.0,,Stock Split
FME GR Equity,2007-05-01,2007-06-18,2007-06-15,2007-06-18,3.0,,Stock Split
GSK LN Equity,2022-07-18,2022-07-19,2022-07-18,2022-07-19,0.8,,Stock Split
HSBA LN Equity,1999-04-19,1999-07-05,1999-07-02,1999-07-05,3.0,,Stock Split
HSBA LN Equity,1991-04-01,1991-04-03,1991-04-04,1991-04-04,0.25,,Stock Split
IHG LN Equity,2018-12-14,2019-01-14,2019-01-11,2019-01-14,0.95,,Stock Split
IHG LN Equity,2017-04-04,2017-05-08,2017-05-05,2017-05-08,0.957447,,Stock Split
IHG LN Equity,2016-04-04,2016-05-09,2016-05-06,2016-05-09,0.833333,,Stock Split
IHG LN Equity,2014-06-06,2014-07-01,2014-06-30,2014-07-01,0.923077,,Stock Split
IHG LN Equity,2012-09-14,2012-10-09,2012-10-08,2012-10-09,0.933333,,Stock Split
IHG LN Equity,2007-05-07,2007-06-04,2007-06-01,2007-06-04,0.839286,,Stock Split
IHG LN Equity,2006-05-05,2006-06-12,2006-06-09,2006-06-22,0.875,,Stock Split
IHG LN Equity,2005-05-03,2005-06-27,2005-06-24,2005-07-08,0.733333,,Stock Split
IHG LN Equity,2004-11-16,2004-12-13,2004-12-10,2004-12-17,0.892857,,Stock Split
INGA NA Equity,2001-06-22,2001-07-02,2001-06-30,2001-07-02,2.0,,Stock Split
