,BLOOMBERG_CLOSE_TIME
4502 JP Equity,01:45:21
6758 JP Equity,01:45:20
7203 JP Equity,01:45:20
7267 JP Equity,01:45:20
8306 JP Equity,01:45:20
8316 JP Equity,01:45:20
8411 JP Equity,01:45:20
ABI BB Equity,11:55:00
AGN NA Equity,11:55:00
ARGX BB Equity,11:55:00
ASML NA Equity,11:55:00
AZN LN Equity,11:35:13
BARC LN Equity,11:35:07
BATS LN Equity,11:35:04
BBVA SM Equity,12:40:15
BHP AU Equity,00:21:22
BP/ LN Equity,11:35:06
DGE LN Equity,11:35:25
ENI IM Equity,12:02:27
EQNR NO Equity,10:45:00
ERICB SS Equity,11:29:53
FME GR Equity,17:00:50
GMAB DC Equity,11:10:00
GSK LN Equity,11:35:10
HLN LN Equity,11:35:08
HSBA LN Equity,11:35:22
IHG LN Equity,11:35:12
INGA NA Equity,11:55:00
LLOY LN Equity,11:35:29
NG/ LN Equity,11:35:10
NOKIA FH Equity,11:29:46
NOVN SW Equity,11:31:04
NOVOB DC Equity,11:10:00
NWG LN Equity,11:35:26
PHIA NA Equity,11:55:00
PRU LN Equity,11:35:01
PSON LN Equity,11:35:17
REL LN Equity,11:35:09
RIO LN Equity,11:35:15
RTO LN Equity,11:35:06
RYA ID Equity,11:55:00
SAN FP Equity,11:55:00
SAN SM Equity,12:40:15
SAP GR Equity,17:00:50
SHEL LN Equity,11:35:29
SN/ LN Equity,11:35:01
TEN IM Equity,12:02:28
TTE FP Equity,11:55:00
UBSG SW Equity,11:31:04
ULVR LN Equity,11:35:11
VOD LN Equity,11:35:28
WDS AU Equity,00:21:22
WPP LN Equity,11:35:05
DBK GR Equity,17:00:50
1698 HK Equity,03:08:19
2423 HK Equity,03:08:19
MT NA Equity,11:55:00
STMPA FP Equity,11:55:00
9988 HK Equity,03:08:19
9888 HK Equity,03:08:19
9618 HK Equity,03:08:19
9866 HK Equity,03:08:19
9961 HK Equity,03:08:19
9868 HK Equity,03:08:19
2015 HK Equity,03:08:19
6160 HK Equity,03:08:19
9999 HK Equity,03:08:19
9698 HK Equity,03:08:19
9626 HK Equity,03:08:19
1179 HK Equity,03:08:19
9901 HK Equity,03:08:19
2057 HK Equity,03:08:19
3896 HK Equity,03:08:19
9688 HK Equity,03:08:19
9896 HK Equity,03:08:19
9898 HK Equity,03:08:19
UKX Index,11:35:29
CAC Index,11:45:00
DAX Index,11:45:00
SX5E Index,11:50:00
AEX Index,12:05:00
SXXP Index,11:50:00
NKY Index,01:46:13
SX7E Index,11:50:00
MXEF Index,17:00:24
HSI Index,03:15:14
