id,shares,source,sedol,name,as_of_date,currency,country,adr,adr_price,adr_turnover,turnover_usd,exchange,ratio,price_usd
000001 CH Equity,422400.0,ETF,6802006,Ping An Bank Co Ltd,2025-09-25,CNY,CHINA,,,,228177149.85074627,XSHE,,1.59778
000002 CH Equity,258396.0,ETF,6803708,China Vanke Co Ltd,2025-09-25,CNY,CHINA,,,,145842281.9402985,XSHE,,0.95306
000100 KS Equity,15667.0,ETF,6988337,Yuhan Corp,2025-09-25,KRW,SOUTH KOREA,,,,39025092.42424242,XKRX,,83.74318
000150 KS Equity,1888.0,ETF,6661111,Doosan Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,64460618.63636363,XKRX,,403.81246
000157 CH Equity,402000.0,ETF,6289977,Zoomlion Heavy Industry Scienc,2025-09-25,CNY,CHINA,,,,90973583.73134328,XSHE,,1.08481
000166 CH Equity,992700.0,ETF,BVHFB90,Shenwan Hongyuan Group Co Ltd,2025-09-25,CNY,CHINA,,,,82230109.40298508,XSHE,,0.72461
000270 KS Equity,63071.0,ETF,6490928,Kia Corp,2025-09-25,KRW,SOUTH KOREA,,,,70283328.93939394,XKRX,,72.38817
000333 CH Equity,84900.0,ETF,BDVHRJ8,Midea Group Co Ltd,2025-09-25,CNY,CHINA,,,,377747698.5074627,XSHE,,10.20897
000425 CH Equity,448500.0,ETF,6984249,XCMG Construction Machinery Co,2025-09-25,CNY,CHINA,,,,125419363.28358209,XSHE,,1.45202
000538 CH Equity,82500.0,ETF,6984045,Yunnan Baiyao Group Co Ltd,2025-09-25,CNY,CHINA,,,,85085997.91044776,XSHE,,8.02814
000568 CH Equity,35100.0,ETF,6517485,Luzhou Laojiao Co Ltd,2025-09-25,CNY,CHINA,,,,189449667.91044775,XSHE,,18.14461
000596 CH Equity,16300.0,ETF,6048015,Anhui Gujing Distillery Co Ltd,2025-09-25,CNY,CHINA,,,,74646775.6716418,XSHE,,21.71859
000625 CH Equity,136000.0,ETF,6193948,Chongqing Changan Automobile C,2025-09-25,CNY,CHINA,,,,171367950.0,XSHE,,1.69309
000651 CH Equity,92300.0,ETF,6990257,Gree Electric Appliances Inc o,2025-09-25,CNY,CHINA,,,,294740661.19402987,XSHE,,5.53617
000660 KS Equity,136843.0,ETF,6450267,SK Hynix Inc,2025-09-25,KRW,SOUTH KOREA,,,,724051500.0,XKRX,,253.00376
000725 CH Equity,742500.0,ETF,6314697,BOE Technology Group Co Ltd,2025-09-25,CNY,CHINA,,,,297413364.1791045,XSHE,,0.58445
000792 CH Equity,160500.0,ETF,6110107,Qinghai Salt Lake Industry Co,2025-09-25,CNY,CHINA,,,,174741646.41791046,XSHE,,2.74566
000810 KS Equity,7662.0,ETF,6155250,Samsung Fire & Marine Insuranc,2025-09-25,KRW,SOUTH KOREA,,,,34386003.63636363,XKRX,,319.35959
000858 CH Equity,83300.0,ETF,6109901,Wuliangye Yibin Co Ltd,2025-09-25,CNY,CHINA,,,,374544735.8208955,XSHE,,17.03177
000876 CH Equity,257500.0,ETF,6037596,New Hope Liuhe Co Ltd,2025-09-25,CNY,CHINA,,,,56996165.97014926,XSHE,,1.37073
000895 CH Equity,92100.0,ETF,6128780,Henan Shuanghui Investment & D,2025-09-25,CNY,CHINA,,,,35165159.55223881,XSHE,,3.46045
001979 CH Equity,137000.0,ETF,BYY36X7,China Merchants Shekou Industr,2025-09-25,CNY,CHINA,,,,84090415.07462686,XSHE,,1.3427
002001 CH Equity,108200.0,ETF,B01KBG1,Zhejiang NHU Co Ltd,2025-09-25,CNY,CHINA,,,,92999697.1641791,XSHE,,3.3217
002142 CH Equity,102800.0,ETF,B232Y04,Bank of Ningbo Co Ltd,2025-09-25,CNY,CHINA,,,,137870519.5522388,XSHE,,3.69592
002230 CH Equity,68700.0,ETF,B2R0YF9,Iflytek Co Ltd,2025-09-25,CNY,CHINA,,,,361254469.5522388,XSHE,,7.87257
002304 CH Equity,27500.0,ETF,B55JM22,Jiangsu Yanghe Distillery Co L,2025-09-25,CNY,CHINA,,,,63772944.47761194,XSHE,,9.57967
002311 CH Equity,69500.0,ETF,B597PH8,Guangdong Haid Group Co Ltd,2025-09-25,CNY,CHINA,,,,66360869.85074627,XSHE,,8.68968
002352 CH Equity,105100.0,ETF,B3P1NF4,SF Holding Co Ltd,2025-09-25,CNY,CHINA,,,,186244064.92537314,XSHE,,5.61746
002371 CH Equity,17415.0,ETF,B66DNR2,NAURA Technology Group Co Ltd,2025-09-25,CNY,CHINA,,,,454451794.0298507,XSHE,,63.58183
002422 CH Equity,45900.0,ETF,B3YB7P3,Sichuan Kelun Pharmaceutical C,2025-09-25,CNY,CHINA,,,,89433101.04477613,XSHE,,5.26847
002460 CH Equity,29500.0,ETF,B41CNM5,Ganfeng Lithium Group Co Ltd,2025-09-25,CNY,CHINA,,,,366423897.6119403,XSHE,,7.8109
002475 CH Equity,151340.0,ETF,B64QPN3,Luxshare Precision Industry Co,2025-09-25,CNY,CHINA,,,,1005666331.3432835,XSHE,,9.63433
002493 CH Equity,207500.0,ETF,B4TPTS4,Rongsheng Petrochemical Co Ltd,2025-09-25,CNY,CHINA,,,,37966495.07462686,XSHE,,1.32027
002594 CH Equity,123000.0,ETF,B466322,BYD Co Ltd,2025-09-25,CNY,CHINA,,,,805115892.5373135,XSHE,,15.06678
002653 CH Equity,14700.0,ETF,B5V7SQ6,Haisco Pharmaceutical Group Co,2025-09-25,CNY,CHINA,,,,32276791.58208955,XSHE,,7.75063
002714 CH Equity,94612.0,ETF,BJ0JR20,Muyuan Foods Co Ltd,2025-09-25,CNY,CHINA,,,,304691764.1791045,XSHE,,7.40585
002938 CH Equity,53200.0,ETF,BFXR916,Avary Holding Shenzhen Co Ltd,2025-09-25,CNY,CHINA,,,,306174397.46268654,XSHE,,8.33929
003230 KS Equity,1055.0,ETF,6771838,Samyang Foods Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,44826457.27272727,XKRX,,1033.30569
003490 KS Equity,35198.0,ETF,6496766,Korean Air Lines Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,27522152.196969695,XKRX,,16.25185
003550 KS Equity,24649.0,ETF,6537030,LG Corp,2025-09-25,KRW,SOUTH KOREA,,,,14627142.984848484,XKRX,,52.87175
003670 KS Equity,8992.0,ETF,6419451,POSCO Future M Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,43212637.878787875,XKRX,,103.54348
005380 KS Equity,35724.0,ETF,6451055,Hyundai Motor Co,2025-09-25,KRW,SOUTH KOREA,,,,108940768.33333333,XKRX,,154.00229
005385 KS Equity,2069.0,ETF,6451022,Hyundai Motor Co,2025-09-25,KRW,SOUTH KOREA,,,,15667025.469696969,XKRX,,117.31142
005387 KS Equity,7519.0,ETF,6148272,Hyundai Motor Co,2025-09-25,KRW,SOUTH KOREA,,,,14502476.606060605,XKRX,,119.36952
005490 KS Equity,17071.0,ETF,6693233,POSCO Holdings Inc,2025-09-25,KRW,SOUTH KOREA,PKX US Equity,49.665,7881778.446153847,74178487.27272727,XKRX,0.10625423537117196,199.42232
005830 KS Equity,8850.0,ETF,6155937,DB Insurance Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,19290464.060606062,XKRX,,99.14341
005930 KS Equity,1180966.0,ETF,6771720,Samsung Electronics Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,923593378.7878788,XKRX,,61.10413
005935 KS Equity,212449.0,ETF,6773812,Samsung Electronics Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,67751645.45454545,XKRX,,47.83297
006400 KS Equity,15443.0,ETF,6771645,Samsung SDI Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,76507474.0909091,XKRX,,149.38932
006800 KS Equity,64379.0,ETF,6249658,Mirae Asset Securities Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,44269741.666666664,XKRX,,14.47763
009150 KS Equity,12655.0,ETF,6771689,Samsung Electro-Mechanics Co L,2025-09-25,KRW,SOUTH KOREA,,,,52475638.484848484,XKRX,,141.9376
009540 KS Equity,11720.0,ETF,6446620,HD Korea Shipbuilding & Offsho,2025-09-25,KRW,SOUTH KOREA,,,,81944483.33333333,XKRX,,286.00425
010120 KS Equity,4329.0,ETF,6378217,LS Electric Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,37036064.696969695,XKRX,,197.6481
010130 KS Equity,1224.0,ETF,6495428,Korea Zinc Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,13320281.515151516,XKRX,,669.23576
010140 KS Equity,203789.0,ETF,6772217,Samsung Heavy Industries Co Lt,2025-09-25,KRW,SOUTH KOREA,,,,90848390.9090909,XKRX,,15.57765
010950 KS Equity,11194.0,ETF,6406055,S-Oil Corp,2025-09-25,KRW,SOUTH KOREA,,,,9452645.848484848,XKRX,,43.4329
011200 KS Equity,73812.0,ETF,6405869,HMM Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,29593400.454545453,XKRX,,14.93893
012330 KS Equity,16214.0,ETF,6449544,Hyundai Mobis Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,42034563.03030303,XKRX,,213.61608
012450 KS Equity,8426.0,ETF,6772671,Hanwha Aerospace Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,155227238.1818182,XKRX,,743.753
015760 KS Equity,72087.0,ETF,6495730,Korea Electric Power Corp,2025-09-25,KRW,SOUTH KOREA,KEP US Equity,13.26,8229303.415384616,118668782.12121212,XKRX,0.06934682625274556,25.54877
017670 KS Equity,14580.0,ETF,6224871,SK Telecom Co Ltd,2025-09-25,KRW,SOUTH KOREA,SKM US Equity,21.655,8333998.492307693,26640605.045454547,XKRX,0.31283067625859534,39.17478
018260 KS Equity,9873.0,ETF,BRS2KY0,Samsung SDS Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,28856728.40909091,XKRX,,117.38239
021240 KS Equity,17915.0,ETF,6173401,Coway Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,11677559.393939395,XKRX,,70.9688
024110 KS Equity,37236.0,ETF,6462972,Industrial Bank of Korea,2025-09-25,KRW,SOUTH KOREA,,,,13847331.787878787,XKRX,,13.8744
028260 KS Equity,23812.0,ETF,BSXN8K7,Samsung C&T Corp,2025-09-25,KRW,SOUTH KOREA,,,,50014972.42424242,XKRX,,135.05362
028300 KS Equity,34160.0,ETF,6517407,HLB Inc,2025-09-25,KRW,SOUTH KOREA,,,,16591361.43939394,XKOS,,28.13913
032640 KS Equity,30970.0,ETF,6290902,LG Uplus Corp,2025-09-25,KRW,SOUTH KOREA,,,,10604571.681818182,XKRX,,10.60274
032830 KS Equity,19658.0,ETF,B12C0T9,Samsung Life Insurance Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,30141006.484848484,XKRX,,106.59513
033780 KS Equity,25983.0,ETF,6175076,KT&G Corp,2025-09-25,KRW,SOUTH KOREA,,,,35641786.36363637,XKRX,,95.3111
034020 KS Equity,114809.0,ETF,6294670,Doosan Enerbility Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,356521166.6666667,XKRX,,45.42003
034220 KS Equity,107533.0,ETF,B01VZN9,LG Display Co Ltd,2025-09-25,KRW,SOUTH KOREA,LPL US Equity,5.23,2081236.926153846,24749163.893939395,XKRX,0.08409322169721871,10.14854
034730 KS Equity,9380.0,ETF,B39Z8L3,SK Inc,2025-09-25,KRW,SOUTH KOREA,,,,40465180.60606061,XKRX,,148.67963
035420 KS Equity,34850.0,ETF,6560393,NAVER Corp,2025-09-25,KRW,SOUTH KOREA,,,,210007065.45454547,XKRX,,180.26075
035720 KS Equity,78475.0,ETF,6194037,Kakao Corp,2025-09-25,KRW,SOUTH KOREA,,,,142285072.42424244,XKRX,,44.85228
042660 KS Equity,29955.0,ETF,6211732,Hanwha Ocean Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,232628682.57575756,XKRX,,77.7818
042700 KS Equity,11650.0,ETF,B0CSXQ8,Hanmi Semiconductor Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,47880919.09090909,XKRX,,66.78164
047050 KS Equity,13678.0,ETF,6344274,Posco International Corp,2025-09-25,KRW,SOUTH KOREA,,,,17764521.59090909,XKRX,,35.91021
047810 KS Equity,24015.0,ETF,B3N3363,Korea Aerospace Industries Ltd,2025-09-25,KRW,SOUTH KOREA,,,,51177565.45454545,XKRX,,77.71083
051900 KS Equity,2907.0,ETF,6344456,LG H&H Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,12006871.0,XKRX,,203.32561
051910 KS Equity,13192.0,ETF,6346913,LG Chem Ltd,2025-09-25,KRW,SOUTH KOREA,,,,63868131.81818182,XKRX,,207.58373
055550 KS Equity,98533.0,ETF,6397502,Shinhan Financial Group Co Ltd,2025-09-25,KRW,SOUTH KOREA,SHG US Equity,50.238,10385558.107692307,76677863.93939394,XKRX,0.13544401961824387,49.53622
