,Z 1 Index,BP1 Curncy
2025-03-03,Z H5,BPH5
2025-03-04,Z H5,BPH5
2025-03-05,Z H5,BPH5
2025-03-06,Z H5,BPH5
2025-03-07,Z H5,BPH5
2025-03-10,Z H5,BPH5
2025-03-11,Z H5,BPH5
2025-03-12,Z H5,BPH5
2025-03-13,Z H5,BPH5
2025-03-14,Z H5,BPH5
2025-03-17,Z H5,BPH5
2025-03-18,Z H5,BPM5
2025-03-19,Z H5,BPM5
2025-03-20,Z H5,BPM5
2025-03-21,Z H5,BPM5
2025-03-24,Z M5,BPM5
2025-03-25,Z M5,BPM5
2025-03-26,Z M5,BPM5
2025-03-27,Z M5,BPM5
2025-03-28,Z M5,BPM5
2025-03-31,Z M5,BPM5
2025-04-01,Z M5,BPM5
2025-04-02,Z M5,BPM5
2025-04-03,Z M5,BPM5
2025-04-04,Z M5,BPM5
2025-04-07,Z M5,BPM5
2025-04-08,Z M5,BPM5
2025-04-09,Z M5,BPM5
2025-04-10,Z M5,BPM5
2025-04-11,Z M5,BPM5
2025-04-14,Z M5,BPM5
2025-04-15,Z M5,BPM5
2025-04-16,Z M5,BPM5
2025-04-17,Z M5,BPM5
2025-04-21,Z M5,BPM5
2025-04-22,Z M5,BPM5
2025-04-23,Z M5,BPM5
2025-04-24,Z M5,BPM5
2025-04-25,Z M5,BPM5
2025-04-28,Z M5,BPM5
2025-04-29,Z M5,BPM5
2025-04-30,Z M5,BPM5
2025-05-01,Z M5,BPM5
2025-05-02,Z M5,BPM5
2025-05-05,Z M5,BPM5
2025-05-06,Z M5,BPM5
2025-05-07,Z M5,BPM5
2025-05-08,Z M5,BPM5
2025-05-09,Z M5,BPM5
2025-05-12,Z M5,BPM5
2025-05-13,Z M5,BPM5
2025-05-14,Z M5,BPM5
2025-05-15,Z M5,BPM5
2025-05-16,Z M5,BPM5
2025-05-19,Z M5,BPM5
2025-05-20,Z M5,BPM5
2025-05-21,Z M5,BPM5
2025-05-22,Z M5,BPM5
2025-05-23,Z M5,BPM5
2025-05-27,Z M5,BPM5
2025-05-28,Z M5,BPM5
2025-05-29,Z M5,BPM5
2025-05-30,Z M5,BPM5
2025-06-02,Z M5,BPM5
2025-06-03,Z M5,BPM5
2025-06-04,Z M5,BPM5
2025-06-05,Z M5,BPM5
2025-06-06,Z M5,BPM5
2025-06-09,Z M5,BPM5
2025-06-10,Z M5,BPM5
2025-06-11,Z M5,BPM5
2025-06-12,Z M5,BPM5
2025-06-13,Z M5,BPM5
2025-06-16,Z M5,BPM5
2025-06-17,Z M5,BPU5
2025-06-18,Z M5,BPU5
2025-06-19,Z M5,BPU5
2025-06-20,Z M5,BPU5
2025-06-23,Z U5,BPU5
2025-06-24,Z U5,BPU5
2025-06-25,Z U5,BPU5
2025-06-26,Z U5,BPU5
2025-06-27,Z U5,BPU5
2025-06-30,Z U5,BPU5
2025-07-01,Z U5,BPU5
2025-07-02,Z U5,BPU5
2025-07-03,Z U5,BPU5
2025-07-04,Z U5,BPU5
2025-07-07,Z U5,BPU5
2025-07-08,Z U5,BPU5
2025-07-09,Z U5,BPU5
2025-07-10,Z U5,BPU5
2025-07-11,Z U5,BPU5
2025-07-14,Z U5,BPU5
2025-07-15,Z U5,BPU5
2025-07-16,Z U5,BPU5
2025-07-17,Z U5,BPU5
2025-07-18,Z U5,BPU5
2025-07-21,Z U5,BPU5
2025-07-22,Z U5,BPU5
2025-07-23,Z U5,BPU5
2025-07-24,Z U5,BPU5
2025-07-25,Z U5,BPU5
2025-07-28,Z U5,BPU5
2025-07-29,Z U5,BPU5
2025-07-30,Z U5,BPU5
2025-07-31,Z U5,BPU5
2025-08-01,Z U5,BPU5
2025-08-04,Z U5,BPU5
2025-08-05,Z U5,BPU5
2025-08-06,Z U5,BPU5
2025-08-07,Z U5,BPU5
2025-08-08,Z U5,BPU5
2025-08-11,Z U5,BPU5
2025-08-12,Z U5,BPU5
2025-08-13,Z U5,BPU5
2025-08-14,Z U5,BPU5
2025-08-15,Z U5,BPU5
2025-08-18,Z U5,BPU5
2025-08-19,Z U5,BPU5
2025-08-20,Z U5,BPU5
2025-08-21,Z U5,BPU5
2025-08-22,Z U5,BPU5
2025-08-25,Z U5,BPU5
2025-08-26,Z U5,BPU5
2025-08-27,Z U5,BPU5
2025-08-28,Z U5,BPU5
2025-08-29,Z U5,BPU5
2025-09-01,Z U5,BPU5
2025-09-02,Z U5,BPU5
2025-09-03,Z U5,BPU5
2025-09-04,Z U5,BPU5
2025-09-05,Z U5,BPU5
2025-09-08,Z U5,BPU5
2025-09-09,Z U5,BPU5
2025-09-10,Z U5,BPU5
2025-09-11,Z U5,BPU5
2025-09-12,Z U5,BPU5
2025-09-15,Z U5,BPU5
2025-09-16,Z U5,BPZ5
2025-09-17,Z U5,BPZ5
2025-09-18,Z U5,BPZ5
2025-09-19,Z U5,BPZ5
2025-09-22,Z Z5,BPZ5
2025-09-23,Z Z5,BPZ5
2025-09-24,Z Z5,BPZ5
2025-09-25,Z Z5,BPZ5
2025-09-26,Z Z5,BPZ5
2025-09-29,Z Z5,BPZ5
2025-09-30,Z Z5,BPZ5
