id,shares,source,sedol,name,as_of_date,currency,country,adr,price_usd,adr_price,adr_turnover,turnover_usd,exchange,adr_exchange
1 HK Equity,9169684.0,ETF,BW9P816,CK Hutchison Holdings Ltd,2025-09-25,HKD,HONG KONG,CKHUY US Equity,51.8,6.6,793050.156923077,43350705.303030305,XHKG,OOTC
1038 HK Equity,2145792.0,ETF,BYVS6J1,CK Infrastructure Holdings Ltd,2025-09-25,HKD,HONG KONG,CKISY US Equity,51.0,31.06,3797.003414634147,11448924.348484848,XHKG,OOTC
11 HK Equity,2552900.0,ETF,6408374,Hang Seng Bank Ltd,2025-09-25,HKD,HONG KONG,HSNGY US Equity,151.7,19.59,83198.66276923077,31940183.484848484,XHKG,OOTC
1113 HK Equity,6617184.0,ETF,BYZQ077,CK Asset Holdings Ltd,2025-09-25,HKD,HONG KONG,CNGKY US Equity,39.5,9.95,22429.922000000002,19543215.651515152,XHKG,OOTC
12 HK Equity,5043764.0,ETF,6420538,Henderson Land Development Co,2025-09-25,HKD,HONG KONG,HLDCY US Equity,27.84,3.51,93610.65738461539,27673130.303030305,XHKG,OOTC
1299 HK Equity,36404000.0,ETF,B4TX8S1,AIA Group Ltd,2025-09-25,HKD,HONG KONG,AAGIY US Equity,79.65,40.85,7650873.830769231,302423477.27272725,XHKG,OOTC
1308 HK Equity,4606000.0,ETF,B61X7R5,SITC International Holdings Co,2025-09-25,HKD,HONG KONG,SITIY US Equity,30.4,40.7725,24890.904833333334,14907234.803030303,XHKG,OOTC
16 HK Equity,4960500.0,ETF,6859927,Sun Hung Kai Properties Ltd,2025-09-25,HKD,HONG KONG,SUHJY US Equity,98.25,12.64,591740.723076923,53084372.42424242,XHKG,OOTC
1605 JP Equity,3012643.0,ETF,B10RB15,Inpex Corp,2025-09-25,JPY,JAPAN,IPXHY US Equity,2871.0,18.54,490969.21692307695,88712473.96825397,XTKS,OOTC
1801 JP Equity,529600.0,ETF,6870100,Taisei Corp,2025-09-25,JPY,JAPAN,TISCY US Equity,11225.0,17.64,40830.77207547171,43972901.428571425,XTKS,OOTC
1802 JP Equity,2226800.0,ETF,6656407,Obayashi Corp,2025-09-25,JPY,JAPAN,OBYSY US Equity,2648.0,,,37858121.9047619,XTKS,OOTC
1812 JP Equity,1439500.0,ETF,6481320,Kajima Corp,2025-09-25,JPY,JAPAN,KAJMY US Equity,4982.0,34.9,2833.0622000000003,39876400.952380955,XTKS,OOTC
1878 JP Equity,993500.0,ETF,6250508,Daito Trust Construction Co Lt,2025-09-25,JPY,JAPAN,DIFTY US Equity,2869.5,4.63,371848.9910769231,24339263.015873015,XTKS,OOTC
19 HK Equity,1208500.0,ETF,6867748,Swire Pacific Ltd,2025-09-25,HKD,HONG KONG,SWRAY US Equity,65.3,8.33,255505.97584615383,8757601.333333334,XHKG,OOTC
1925 JP Equity,1908100.0,ETF,6251363,Daiwa House Industry Co Ltd,2025-09-25,JPY,JAPAN,DWAHY US Equity,5276.0,34.185,705087.9076923077,48637237.46031746,XTKS,OOTC
1928 HK Equity,8207200.0,ETF,B5B23W2,Sands China Ltd,2025-09-25,HKD,MACAU,SCHYY US Equity,19.75,25.27,349767.14569230773,52787030.15151515,XHKG,OOTC
1928 JP Equity,2041700.0,ETF,6793906,Sekisui House Ltd,2025-09-25,JPY,JAPAN,SKHSY US Equity,3263.0,21.08,1469361.073846154,62761261.58730159,XTKS,OOTC
1997 HK Equity,5831912.0,ETF,BF0GWS4,Wharf Real Estate Investment C,2025-09-25,HKD,HONG KONG,WHREY US Equity,22.72,,60.552499999999995,15401488.530303031,XHKG,OOTC
1CO GR Equity,610796.0,ETF,BRBLFV6,Covestro AG,2025-09-25,EUR,GERMANY,,59.9,,,12740560.626865672,XETR,
2 HK Equity,5620000.0,ETF,6097017,CLP Holdings Ltd,2025-09-25,HKD,HONG KONG,CLPHY US Equity,66.7,8.55,475751.5184615385,31061798.78787879,XHKG,OOTC
2267 JP Equity,867000.0,ETF,6985112,Yakult Honsha Co Ltd,2025-09-25,JPY,JAPAN,YKLTY US Equity,2317.0,7.02,21831.84969230769,33560641.58730159,XTKS,OOTC
2269 JP Equity,809408.0,ETF,B60DQV3,MEIJI Holdings Co Ltd,2025-09-25,JPY,JAPAN,MEJHY US Equity,2990.5,9.47,13900.110461538461,26362717.46031746,XTKS,OOTC
2388 HK Equity,12548500.0,ETF,6536112,BOC Hong Kong Holdings Ltd,2025-09-25,HKD,HONG KONG,BHKLY US Equity,38.6,99.09,502229.0653846154,83274171.51515152,XHKG,OOTC
2413 JP Equity,1492100.0,ETF,B02K2M3,M3 Inc,2025-09-25,JPY,JAPAN,MTHRY US Equity,2172.0,6.98,708616.4719999998,52695277.777777776,XTKS,OOTC
2502 JP Equity,4927800.0,ETF,6054409,Asahi Group Holdings Ltd,2025-09-25,JPY,JAPAN,ASBHY US Equity,1689.0,,,62992093.96825397,XTKS,OOTC
2503 JP Equity,2664700.0,ETF,6493745,Kirin Holdings Co Ltd,2025-09-25,JPY,JAPAN,KNBWY US Equity,2172.5,14.16,638578.3384615384,45449203.65079365,XTKS,OOTC
2587 JP Equity,479600.0,ETF,BBD7Q84,Suntory Beverage & Food Ltd,2025-09-25,JPY,JAPAN,STBFY US Equity,4668.0,15.15,733470.843076923,27047445.968253966,XTKS,OOTC
27 HK Equity,7444000.0,ETF,6465874,Galaxy Entertainment Group Ltd,2025-09-25,HKD,HONG KONG,GXYYY US Equity,38.46,24.55,683509.6138461538,65036351.96969697,XHKG,OOTC
2801 JP Equity,2291800.0,ETF,6490809,Kikkoman Corp,2025-09-25,JPY,JAPAN,KIKOY US Equity,1253.0,16.1,1724.950357142857,25213482.063492063,XTKS,OOTC
2802 JP Equity,3078900.0,ETF,6010906,Ajinomoto Co Inc,2025-09-25,JPY,JAPAN,AJINY US Equity,4438.0,28.66,620675.3000000002,64878406.34920635,XTKS,OOTC
288 HK Equity,28835500.0,ETF,BLLHKZ1,WH Group Ltd,2025-09-25,HKD,HONG KONG,WHGLY US Equity,7.76,19.91,1012496.2046153846,25423792.12121212,XHKG,OOTC
2897 JP Equity,665200.0,ETF,6641760,Nissin Foods Holdings Co Ltd,2025-09-25,JPY,JAPAN,NSNFY US Equity,2773.0,,,34889890.31746032,XTKS,OOTC
2914 JP Equity,4089400.0,ETF,6474535,Japan Tobacco Inc,2025-09-25,JPY,JAPAN,JAPAY US Equity,5283.0,17.156,1598232.1892307692,120451557.61904761,XTKS,OOTC
3 HK Equity,38489513.0,ETF,6436557,Hong Kong & China Gas Co Ltd,2025-09-25,HKD,HONG KONG,HOKCY US Equity,7.27,0.8628,5660.413538461539,18249287.863636363,XHKG,OOTC
3003 JP Equity,1592800.0,ETF,6805317,Hulic Co Ltd,2025-09-25,JPY,JAPAN,,1596.0,,,23387229.682539683,XTKS,
3038 JP Equity,508200.0,ETF,B14RJB7,Kobe Bussan Co Ltd,2025-09-25,JPY,JAPAN,KOBCY US Equity,3592.0,,,32727845.714285713,XTKS,OOTC
3064 JP Equity,847000.0,ETF,B1GHR88,MonotaRO Co Ltd,2025-09-25,JPY,JAPAN,MONOY US Equity,2102.5,13.56,1711242.467692308,25404532.698412698,XTKS,OOTC
3088 JP Equity,1138000.0,ETF,B249GC0,MatsukiyoCocokara & Co,2025-09-25,JPY,JAPAN,MSTKY US Equity,2786.0,,,31457725.555555556,XTKS,OOTC
3092 JP Equity,1522500.0,ETF,B292RC1,ZOZO Inc,2025-09-25,JPY,JAPAN,SRTTY US Equity,1269.5,7.75,26336.455538461538,26156797.14285714,XTKS,OOTC
3382 JP Equity,7112840.0,ETF,B0FS5D6,Seven & i Holdings Co Ltd,2025-09-25,JPY,JAPAN,SVNDY US Equity,1947.5,12.58,2585600.113846154,127568807.3015873,XTKS,OOTC
3402 JP Equity,4756100.0,ETF,6897143,Toray Industries Inc,2025-09-25,JPY,JAPAN,TRYIY US Equity,947.0,12.19,246078.9493846154,33021211.26984127,XTKS,OOTC
3407 JP Equity,4238600.0,ETF,6054603,Asahi Kasei Corp,2025-09-25,JPY,JAPAN,AHKSY US Equity,1208.0,15.63,180037.38892307694,33914774.92063492,XTKS,OOTC
