,AZN US Equity,BCS US Equity,BP US Equity,BTI US Equity,DEO US Equity,GSK US Equity,HLN US Equity,HSBC US Equity,IHG US Equity,LYG US Equity,NGG US Equity,NWG US Equity,PSO US Equity,RELX US Equity,RIO US Equity,RTO US Equity,SHEL US Equity,SNN US Equity,UL US Equity,VOD US Equity,WPP US Equity,AZN LN Equity,BARC LN Equity,BATS LN Equity,BP/ LN Equity,DGE LN Equity,GSK LN Equity,HLN LN Equity,HSBA LN Equity,IHG LN Equity,LLOY LN Equity,NG/ LN Equity,NWG LN Equity,PSON LN Equity,REL LN Equity,RIO LN Equity,RTO LN Equity,SHEL LN Equity,SN/ LN Equity,ULVR LN Equity,VOD LN Equity,WPP LN Equity
2025-09-02,239122300.0,190565900.0,296708200.0,394362400.0,120766000.0,168525100.0,105772800.0,71635500.0,14862160.0,41397640.0,63955320.0,71367370.0,8147195.0,126298600.0,133250900.0,18313150.0,254077700.0,23104680.0,204816500.0,92617940.0,12062930.0,154501200.0,121720700.0,165003900.0,128706500.0,96161310.0,114107600.0,83155440.0,190869900.0,39775240.0,122693400.0,113093400.0,153743600.0,19272880.0,143964400.0,90809420.0,12313000.0,158806100.0,57617540.0,154219600.0,54941560.0,14682200.0
2025-09-03,344036300.0,170324600.0,355308200.0,434108400.0,66589990.0,165846900.0,98377520.0,114984100.0,16008340.0,44161240.0,39281330.0,53593790.0,11483930.0,64223510.0,131330900.0,11110670.0,333204200.0,20052060.0,177519800.0,54968090.0,8650182.0,243770600.0,95044510.0,163801200.0,143812600.0,71930760.0,107641000.0,71284950.0,188223600.0,30162350.0,109143100.0,90447220.0,133554600.0,31766220.0,115785000.0,68738150.0,10170690.0,229319900.0,52854590.0,168324100.0,33246180.0,15864230.0
2025-09-04,255615800.0,229315500.0,206957600.0,233177700.0,78765500.0,115951800.0,63372940.0,68568780.0,14408470.0,26391710.0,46721980.0,52681000.0,10192180.0,93178430.0,92573170.0,21008710.0,271833700.0,20397770.0,192308000.0,40914400.0,8341874.0,177583400.0,100343900.0,106579500.0,84764280.0,112267600.0,86512960.0,58903590.0,171696600.0,25353740.0,70743630.0,111928400.0,78945480.0,25505710.0,170534000.0,72476490.0,21896320.0,168912400.0,36342560.0,138436800.0,34593340.0,13113160.0
2025-09-05,201624700.0,221896000.0,266350300.0,286256300.0,94883910.0,263483600.0,144357500.0,89166680.0,39282680.0,50662700.0,39867900.0,65056200.0,10432310.0,71774490.0,205139700.0,11818770.0,293031900.0,46356160.0,173546800.0,34165730.0,8022452.0,164483100.0,111976900.0,138362200.0,126309200.0,69889780.0,79318660.0,51510090.0,235159100.0,36397240.0,69885350.0,93104030.0,142263000.0,16126600.0,113870700.0,96809560.0,13065760.0,214958300.0,40073660.0,128612800.0,26118150.0,12531120.0
2025-09-08,212910400.0,181645800.0,196659800.0,249496300.0,97779780.0,112242800.0,84674120.0,60866680.0,24942940.0,18968900.0,59163710.0,65129080.0,6320284.0,56550190.0,122002300.0,12936330.0,222245900.0,26386300.0,114117600.0,44872040.0,11490660.0,166038600.0,86649130.0,118641000.0,84293340.0,73953800.0,74293690.0,71585190.0,155659000.0,31260270.0,41622170.0,79022510.0,63000300.0,18487340.0,115421000.0,65000990.0,14859110.0,209325000.0,38051600.0,126656700.0,33703740.0,13278550.0
2025-09-09,192943500.0,231413600.0,227224200.0,184960500.0,114484500.0,383881500.0,60027180.0,71351230.0,19733280.0,33677080.0,56600820.0,69775200.0,6158033.0,41934330.0,310915300.0,7886750.0,360711300.0,38486430.0,134304300.0,55474970.0,4999939.0,148517100.0,117977800.0,73775600.0,99838960.0,54825050.0,106406800.0,56652910.0,155865300.0,25744380.0,78708610.0,67292970.0,84133760.0,14161180.0,104893200.0,141013900.0,12843710.0,253269600.0,44812220.0,132563900.0,38892430.0,15639230.0
2025-09-10,170721900.0,139759500.0,191156900.0,155839300.0,80347140.0,122089400.0,83088780.0,238298100.0,25388620.0,28822600.0,38084040.0,39306940.0,8121398.0,103088300.0,265493100.0,11678510.0,371126000.0,18184320.0,115605900.0,52921230.0,8153914.0,151823000.0,116287200.0,95837020.0,96077110.0,78699100.0,79798820.0,67510580.0,247552500.0,28628840.0,96829210.0,69534700.0,71613630.0,22238770.0,144142800.0,137009100.0,16268080.0,187176600.0,40624220.0,98332560.0,41017210.0,15273390.0
2025-09-11,229348400.0,185135500.0,195479300.0,199690800.0,71890840.0,109690400.0,57705080.0,130392500.0,24491940.0,18397630.0,23870680.0,38939800.0,6234283.0,66454940.0,197075100.0,15018120.0,371682100.0,24432710.0,110023500.0,51327990.0,10467650.0,130842900.0,103321300.0,120213800.0,82883210.0,57003420.0,87163250.0,43591880.0,276298900.0,37773680.0,61859060.0,63687920.0,45989850.0,16818200.0,132625100.0,86901540.0,16055540.0,182998000.0,44171790.0,91440160.0,32487470.0,18707540.0
2025-09-12,358494700.0,135939200.0,305923300.0,272172300.0,84358820.0,193511600.0,76970100.0,78110980.0,12672760.0,18789310.0,29238780.0,35150160.0,6978801.0,48792720.0,154178400.0,14304960.0,383941700.0,39163410.0,157303800.0,41948260.0,8098357.0,126748800.0,68495860.0,96559110.0,141436200.0,67158760.0,111355400.0,55822950.0,149790000.0,28820750.0,71240480.0,60623040.0,75235830.0,13202910.0,141242700.0,86481630.0,9162557.0,189083200.0,43604150.0,138196200.0,33955340.0,20025730.0
2025-09-15,346381500.0,150495800.0,198126600.0,235573900.0,170272600.0,112906900.0,69690140.0,70560020.0,16459700.0,24591540.0,25137010.0,41252710.0,8605867.0,86501680.0,199327700.0,16058620.0,352905300.0,44943630.0,92817580.0,47974030.0,19135810.0,158221200.0,67090720.0,95062460.0,127806500.0,67530360.0,95262870.0,62460710.0,165819700.0,35196740.0,100950800.0,54912630.0,55824530.0,13813740.0,171847000.0,118230600.0,8233047.0,185576600.0,74046130.0,67894730.0,44214730.0,19618160.0
