id,shares,source,sedol,name,as_of_date,currency,country,adr,adr_price,adr_turnover,turnover_usd,exchange,adr_exchange
1024 HK Equity,15741600.0,ETF,BLC90T0,Kuaishou Technology,2025-09-25,HKD,CHINA,KSHTY US Equity,1.95,7414.886538461538,418402400.0,XHKG,OOTC
1088 HK Equity,19119500.0,ETF,B09N7M0,China Shenhua Energy Co Ltd,2025-09-25,HKD,CHINA,CSUAY US Equity,19.24,114225.84923076922,77214113.93939394,XHKG,OOTC
1109 HK Equity,16327833.0,ETF,6193766,China Resources Land Ltd,2025-09-25,HKD,HONG KONG,CRBJY US Equity,38.74,1484.4716,64068690.30303031,XHKG,OOTC
1211 HK Equity,19783000.0,ETF,6536651,BYD Co Ltd,2025-09-25,HKD,CHINA,BYDDY US Equity,13.885,39137654.615384616,510443603.030303,XHKG,OOTC
1288 HK Equity,174008000.0,ETF,B60LZR6,Agricultural Bank of China Ltd,2025-09-25,HKD,CHINA,ACGBY US Equity,16.7,667081.5366153845,84870237.12121212,XHKG,OOTC
1339 HK Equity,49398000.0,ETF,B8RZJZ1,People's Insurance Co Group of,2025-09-25,HKD,CHINA,PINXY US Equity,,576.0497826086956,48788972.121212125,XHKG,OOTC
1398 HK Equity,403813995.0,ETF,B1G1QD8,Industrial & Commercial Bank o,2025-09-25,HKD,CHINA,IDCBY US Equity,14.685,698220.9461538462,171939211.36363637,XHKG,OOTC
1658 HK Equity,53393000.0,ETF,BD8GL18,Postal Savings Bank of China C,2025-09-25,HKD,CHINA,PSTVY US Equity,14.9,11208.427,31207745.0,XHKG,OOTC
1766 HK Equity,23737000.0,ETF,B2R2ZC9,CRRC Corp Ltd,2025-09-25,HKD,CHINA,CRCCY US Equity,,126.45,16266353.303030305,XHKG,OOTC
1810 HK Equity,83498200.0,ETF,BG0ZMJ9,Xiaomi Corp,2025-09-25,HKD,CHINA,XIACY US Equity,34.52,20007318.10769231,1009812709.0909092,XHKG,OOTC
1816 HK Equity,58542000.0,ETF,BSBMM04,CGN Power Co Ltd,2025-09-25,HKD,CHINA,,,,22153498.53030303,XHKG,
1919 HK Equity,14217600.0,ETF,B0B8Z18,COSCO SHIPPING Holdings Co Ltd,2025-09-25,HKD,CHINA,CICOY US Equity,7.71,56911.77538461539,50681735.0,XHKG,OOTC
1988 HK Equity,36809100.0,ETF,B57JY24,China Minsheng Banking Corp Lt,2025-09-25,HKD,CHINA,CMAKY US Equity,4.82,4678.772459016393,28488931.651515152,XHKG,OOTC
2015 HK Equity,6820700.0,ETF,BMW5M00,Li Auto Inc,2025-09-25,HKD,CHINA,LI US Equity,24.835,141012454.30769232,245854243.93939397,XHKG,XNGS
2020 HK Equity,7038600.0,ETF,B1YVKN8,ANTA Sports Products Ltd,2025-09-25,HKD,CHINA,ANPDY US Equity,298.51,217153.2278461539,124290053.93939394,XHKG,OOTC
2318 HK Equity,35268000.0,ETF,B01FLR7,Ping An Insurance Group Co of,2025-09-25,HKD,CHINA,PNGAY US Equity,13.71,1542983.7384615385,353427604.54545456,XHKG,OOTC
2328 HK Equity,39058000.0,ETF,6706250,PICC Property & Casualty Co Lt,2025-09-25,HKD,CHINA,PPCCY US Equity,55.0,97147.73307692308,56421168.48484848,XHKG,OOTC
2333 HK Equity,12911000.0,ETF,6718255,Great Wall Motor Co Ltd,2025-09-25,HKD,CHINA,GWLLY US Equity,21.249,185227.98353846156,50329056.81818182,XHKG,OOTC
2359 HK Equity,1793152.0,ETF,BGHH0L6,WuXi AppTec Co Ltd,2025-09-25,HKD,CHINA,WUXAY US Equity,13.89,223411.0872307692,117545438.93939394,XHKG,OOTC
2601 HK Equity,14587000.0,ETF,B2Q5H56,China Pacific Insurance Group,2025-09-25,HKD,CHINA,,,,93532097.12121212,XHKG,
2611 HK Equity,16053000.0,ETF,BD4GT29,Guotai Haitong Securities Co L,2025-09-25,HKD,CHINA,GJJSY US Equity,,,63291905.90909091,XHKG,OOTC
2628 HK Equity,42124000.0,ETF,6718976,China Life Insurance Co Ltd,2025-09-25,HKD,CHINA,,,,248413248.1818182,XHKG,
267 HK Equity,27979000.0,ETF,6196152,CITIC Ltd,2025-09-25,HKD,CHINA,CTPCY US Equity,7.0564,1675.9076666666667,40637635.45454545,XHKG,OOTC
2899 HK Equity,33788000.0,ETF,6725299,Zijin Mining Group Co Ltd,2025-09-25,HKD,CHINA,ZIJMY US Equity,85.14,905051.92,190253260.0,XHKG,OOTC
300 HK Equity,3457900.0,ETF,BQB7ZL7,Midea Group Co Ltd,2025-09-25,HKD,CHINA,MGCLY US Equity,10.635,1855925.2731666665,44656350.75757576,XHKG,OOTC
3328 HK Equity,41203200.0,ETF,B0B8Z29,Bank of Communications Co Ltd,2025-09-25,HKD,CHINA,BCMXY US Equity,20.594,1196.1582978723404,21717753.03030303,XHKG,OOTC
3690 HK Equity,25789520.0,ETF,BGJW376,Meituan,2025-09-25,HKD,CHINA,MPNGY US Equity,26.37,22472452.6,1000367159.0909092,XHKG,OOTC
386 HK Equity,130236600.0,ETF,6291819,China Petroleum & Chemical Cor,2025-09-25,HKD,CHINA,,,,80007562.42424242,XHKG,
3968 HK Equity,21421938.0,ETF,B1DYPZ5,China Merchants Bank Co Ltd,2025-09-25,HKD,CHINA,CIHKY US Equity,30.0775,720262.9199999999,101419505.6060606,XHKG,OOTC
3988 HK Equity,388052000.0,ETF,B154564,Bank of China Ltd,2025-09-25,HKD,CHINA,BACHY US Equity,13.54,783858.0876923078,149044015.0,XHKG,OOTC
3993 HK Equity,20553000.0,ETF,B1VRCG6,CMOC Group Ltd,2025-09-25,HKD,CHINA,CMCLY US Equity,94.0,34239.524545454544,67167413.48484848,XHKG,OOTC
6030 HK Equity,8998200.0,ETF,B6SPB49,CITIC Securities Co Ltd,2025-09-25,HKD,CHINA,CIIHY US Equity,35.06,11959.38846153846,79031095.45454545,XHKG,OOTC
6066 HK Equity,4642500.0,ETF,BDFF8H3,CSC Financial Co Ltd,2025-09-25,HKD,CHINA,,,,30401211.09090909,XHKG,
6160 HK Equity,4454900.0,ETF,BVDKGC7,BeOne Medicines Ltd,2025-09-25,HKD,UNITED STATES,ONC US Equity,330.83,110395092.76923075,149324636.36363637,XHKG,XNGS
6690 HK Equity,13109600.0,ETF,BLD4QD0,Haier Smart Home Co Ltd,2025-09-25,HKD,CHINA,HSHCY US Equity,13.095,571245.2446153846,55069013.78787879,XHKG,OOTC
6818 HK Equity,17555000.0,ETF,B5NRRJ0,China Everbright Bank Co Ltd,2025-09-25,HKD,CHINA,,,,7592959.348484849,XHKG,
6936 HK Equity,1358600.0,ETF,BRWL0W1,SF Holding Co Ltd,2025-09-25,HKD,CHINA,SFHOY US Equity,18.41,3487598.4666666677,25982736.348484848,XHKG,OOTC
700 HK Equity,7530300.0,ETF,BMMV2K8,Tencent Holdings Ltd,2025-09-25,HKD,CHINA,TCEHY US Equity,85.12,124288861.23076925,1384349098.4848485,XHKG,OOTC
763 HK Equity,4276800.0,ETF,B04KP88,ZTE Corp,2025-09-25,HKD,CHINA,,,,126244489.3939394,XHKG,
788 HK Equity,26415600.0,ETF,BTVMCY5,China Tower Corp Ltd,2025-09-25,HKD,CHINA,CTOWY US Equity,,,31045052.727272727,XHKG,OOTC
857 HK Equity,117788000.0,ETF,6226576,PetroChina Co Ltd,2025-09-25,HKD,CHINA,,,,92006670.15151516,XHKG,
939 HK Equity,466176320.0,ETF,B0LMTQ3,China Construction Bank Corp,2025-09-25,HKD,CHINA,CICHY US Equity,19.2325,1599721.096923077,286536137.8787879,XHKG,OOTC
9618 HK Equity,14234400.0,ETF,BKPQZT6,JD.com Inc,2025-09-25,HKD,CHINA,JD US Equity,35.265,440549653.84615386,259500319.6969697,XHKG,XNGS
9633 HK Equity,10135400.0,ETF,BMGWW30,Nongfu Spring Co Ltd,2025-09-25,HKD,CHINA,NOGFY US Equity,,,46193885.0,XHKG,OOTC
9888 HK Equity,12382900.0,ETF,B0J2D41,Baidu Inc,2025-09-25,HKD,CHINA,BIDU US Equity,133.34,549481150.7692307,219017309.0909091,XHKG,XNGS
9961 HK Equity,3418850.0,ETF,BNYK8H9,Trip.com Group Ltd,2025-09-25,HKD,SINGAPORE,TCOM US Equity,76.53,191886680.7692308,145773501.36363637,XHKG,XNGS
998 HK Equity,50497000.0,ETF,B1W0JF2,China CITIC Bank Corp Ltd,2025-09-25,HKD,CHINA,CHCJY US Equity,16.96,62649.91612903226,41040994.39393939,XHKG,OOTC
9988 HK Equity,32070000.0,ETF,BK6YZP5,Alibaba Group Holding Ltd,2025-09-25,HKD,HONG KONG,BABA US Equity,178.875,2367022906.1538463,1891081339.3939395,XHKG,XNYS
9992 HK Equity,3767800.0,ETF,BN6PP37,Pop Mart International Group L,2025-09-25,HKD,CHINA,PMRTY US Equity,33.685,1033338.943076923,435359460.6060606,XHKG,OOTC
9999 HK Equity,9467900.0,ETF,BM93SF4,NetEase Inc,2025-09-25,HKD,CHINA,NTES US Equity,151.49,99045668.76923075,159253428.33333334,XHKG,XNGS
