,NK1 Index,JY1 Curncy
2020-01-02,NKH20,JYH20
2020-01-03,NKH20,JYH20
2020-01-06,NKH20,JYH20
2020-01-07,NKH20,JYH20
2020-01-08,NKH20,JYH20
2020-01-09,NKH20,JYH20
2020-01-10,NKH20,JYH20
2020-01-13,NKH20,JYH20
2020-01-14,NKH20,JYH20
2020-01-15,NKH20,JYH20
2020-01-16,NKH20,JYH20
2020-01-17,NKH20,JYH20
2020-01-20,NKH20,JYH20
2020-01-21,NKH20,JYH20
2020-01-22,NKH20,JYH20
2020-01-23,NKH20,JYH20
2020-01-24,NKH20,JYH20
2020-01-27,NKH20,JYH20
2020-01-28,NKH20,JYH20
2020-01-29,NKH20,JYH20
2020-01-30,NKH20,JYH20
2020-01-31,NKH20,JYH20
2020-02-03,NKH20,JYH20
2020-02-04,NKH20,JYH20
2020-02-05,NKH20,JYH20
2020-02-06,NKH20,JYH20
2020-02-07,NKH20,JYH20
2020-02-10,NKH20,JYH20
2020-02-11,NKH20,JYH20
2020-02-12,NKH20,JYH20
2020-02-13,NKH20,JYH20
2020-02-14,NKH20,JYH20
2020-02-17,NKH20,JYH20
2020-02-18,NKH20,JYH20
2020-02-19,NKH20,JYH20
2020-02-20,NKH20,JYH20
2020-02-21,NKH20,JYH20
2020-02-24,NKH20,JYH20
2020-02-25,NKH20,JYH20
2020-02-26,NKH20,JYH20
2020-02-27,NKH20,JYH20
2020-02-28,NKH20,JYH20
2020-03-02,NKH20,JYH20
2020-03-03,NKH20,JYH20
2020-03-04,NKH20,JYH20
2020-03-05,NKH20,JYH20
2020-03-06,NKH20,JYH20
2020-03-09,NKH20,JYH20
2020-03-10,NKH20,JYH20
2020-03-11,NKH20,JYH20
2020-03-12,NKH20,JYH20
2020-03-13,NKM20,JYH20
2020-03-16,NKM20,JYH20
2020-03-17,NKM20,JYM20
2020-03-18,NKM20,JYM20
2020-03-19,NKM20,JYM20
2020-03-20,NKM20,JYM20
2020-03-23,NKM20,JYM20
2020-03-24,NKM20,JYM20
2020-03-25,NKM20,JYM20
2020-03-26,NKM20,JYM20
2020-03-27,NKM20,JYM20
2020-03-30,NKM20,JYM20
2020-03-31,NKM20,JYM20
2020-04-01,NKM20,JYM20
2020-04-02,NKM20,JYM20
2020-04-03,NKM20,JYM20
2020-04-06,NKM20,JYM20
2020-04-07,NKM20,JYM20
2020-04-08,NKM20,JYM20
2020-04-09,NKM20,JYM20
2020-04-10,NKM20,JYM20
2020-04-13,NKM20,JYM20
2020-04-14,NKM20,JYM20
2020-04-15,NKM20,JYM20
2020-04-16,NKM20,JYM20
2020-04-17,NKM20,JYM20
2020-04-20,NKM20,JYM20
2020-04-21,NKM20,JYM20
2020-04-22,NKM20,JYM20
2020-04-23,NKM20,JYM20
2020-04-24,NKM20,JYM20
2020-04-27,NKM20,JYM20
2020-04-28,NKM20,JYM20
2020-04-29,NKM20,JYM20
2020-04-30,NKM20,JYM20
2020-05-01,NKM20,JYM20
2020-05-04,NKM20,JYM20
2020-05-05,NKM20,JYM20
2020-05-06,NKM20,JYM20
2020-05-07,NKM20,JYM20
2020-05-08,NKM20,JYM20
2020-05-11,NKM20,JYM20
2020-05-12,NKM20,JYM20
2020-05-13,NKM20,JYM20
2020-05-14,NKM20,JYM20
2020-05-15,NKM20,JYM20
2020-05-18,NKM20,JYM20
2020-05-19,NKM20,JYM20
2020-05-20,NKM20,JYM20
2020-05-21,NKM20,JYM20
2020-05-22,NKM20,JYM20
2020-05-25,NKM20,JYM20
2020-05-26,NKM20,JYM20
2020-05-27,NKM20,JYM20
2020-05-28,NKM20,JYM20
2020-05-29,NKM20,JYM20
2020-06-01,NKM20,JYM20
2020-06-02,NKM20,JYM20
2020-06-03,NKM20,JYM20
2020-06-04,NKM20,JYM20
2020-06-05,NKM20,JYM20
2020-06-08,NKM20,JYM20
2020-06-09,NKM20,JYM20
2020-06-10,NKM20,JYM20
2020-06-11,NKM20,JYM20
2020-06-12,NKU20,JYM20
2020-06-15,NKU20,JYM20
2020-06-16,NKU20,JYU20
2020-06-17,NKU20,JYU20
2020-06-18,NKU20,JYU20
2020-06-19,NKU20,JYU20
2020-06-22,NKU20,JYU20
2020-06-23,NKU20,JYU20
2020-06-24,NKU20,JYU20
2020-06-25,NKU20,JYU20
2020-06-26,NKU20,JYU20
2020-06-29,NKU20,JYU20
2020-06-30,NKU20,JYU20
2020-07-01,NKU20,JYU20
2020-07-02,NKU20,JYU20
2020-07-03,NKU20,JYU20
2020-07-06,NKU20,JYU20
